symbol,date,open,high,low,close,volume,factor
QQQ,2021-05-03,339.23,340.00,335.73,336.19,29729700,1
QQQ,2021-05-04,333.56,333.89,326.21,330.14,65147000,1
QQQ,2021-05-05,332.25,333.14,328.23,329.03,46219300,1
QQQ,2021-05-06,328.76,331.67,326.45,331.51,46814300,1
QQQ,2021-05-07,334.37,336.65,331.69,334.20,53324500,1
QQQ,2021-05-10,332.78,332.96,325.55,325.76,60700500,1
QQQ,2021-05-11,319.70,326.13,319.02,325.31,71963600,1
QQQ,2021-05-12,320.23,322.62,316.00,316.89,91164900,1
QQQ,2021-05-13,319.92,322.40,316.90,319.34,69877800,1
QQQ,2021-05-14,322.60,327.33,322.08,326.39,44370000,1
QQQ,2021-05-17,324.63,326.37,321.45,324.41,39395000,1
QQQ,2021-05-18,325.39,326.65,321.94,322.22,36528500,1
QQQ,2021-05-19,316.66,322.90,316.30,322.59,66319100,1
QQQ,2021-05-20,324.12,329.71,323.89,328.83,46466100,1
QQQ,2021-05-21,330.43,330.86,326.64,327.01,50330400,1
QQQ,2021-05-24,329.37,333.67,326.90,332.51,32475800,1
QQQ,2021-05-25,334.07,334.81,331.76,332.97,31280300,1
QQQ,2021-05-26,333.66,334.61,332.95,334.13,25444900,1
QQQ,2021-05-27,333.67,334.54,332.67,332.88,27931700,1
QQQ,2021-05-28,334.12,335.57,333.60,333.93,29927400,1
QQQ,2021-06-01,335.30,335.79,331.43,332.82,31145400,1
QQQ,2021-06-02,333.25,334.34,331.70,333.47,22047900,1
QQQ,2021-06-03,330.55,331.86,328.28,330.00,37057800,1
QQQ,2021-06-04,331.85,336.06,331.78,335.60,38736500,1
QQQ,2021-06-07,335.05,336.66,334.34,336.60,32611900,1
QQQ,2021-06-08,338.40,339.29,335.03,336.76,27282800,1
QQQ,2021-06-09,338.17,338.97,336.65,336.84,21485300,1
QQQ,2021-06-10,337.19,340.46,336.73,340.35,33702100,1
QQQ,2021-06-11,340.36,341.25,339.69,341.24,21222800,1
QQQ,2021-06-14,341.68,344.52,340.46,344.51,27827700,1
QQQ,2021-06-15,344.15,344.47,341.52,342.26,35963800,1
QQQ,2021-06-16,342.74,343.84,337.45,341.01,55399500,1
QQQ,2021-06-17,339.97,346.38,339.92,345.34,59722700,1
QQQ,2021-06-18,343.63,344.81,341.86,342.63,55414900,1
QQQ,2021-06-21,342.43,344.69,340.15,344.36,32992600,1
QQQ,2021-06-22,344.15,348.03,343.84,347.57,28941600,1
QQQ,2021-06-23,347.51,348.92,346.88,347.74,27188500,1
QQQ,2021-06-24,349.73,351.46,349.17,349.89,32581600,1
QQQ,2021-06-25,350.47,350.72,348.84,349.46,28682800,1
QQQ,2021-06-28,350.78,353.85,350.72,353.71,39130300,1
QQQ,2021-06-29,353.53,355.02,352.67,354.99,29426000,1
QQQ,2021-06-30,354.83,355.23,353.83,354.43,32724000,1
QQQ,2021-07-01,354.07,355.09,352.68,354.57,29290000,1
QQQ,2021-07-02,356.52,358.97,356.28,358.64,32727200,1
QQQ,2021-07-06,359.26,360.48,356.49,360.19,38842400,1
QQQ,2021-07-07,362.45,362.76,358.94,360.95,35265200,1
QQQ,2021-07-08,355.74,359.65,354.42,358.77,50890000,1
QQQ,2021-07-09,358.17,361.50,357.57,361.01,35184500,1
QQQ,2021-07-12,362.45,362.89,360.83,362.42,25717700,1
QQQ,2021-07-13,362.03,365.47,361.54,362.42,39723000,1
QQQ,2021-07-14,364.83,365.49,362.22,363.07,35336400,1
QQQ,2021-07-15,362.98,363.19,358.46,360.52,53391600,1
QQQ,2021-07-16,361.40,362.41,357.24,357.60,47262000,1
QQQ,2021-07-19,354.05,355.18,352.04,354.67,64404600,1
QQQ,2021-07-20,355.63,360.28,353.80,358.79,42183700,1
QQQ,2021-07-21,358.35,361.56,358.12,361.56,30259900,1
QQQ,2021-07-22,361.77,363.96,361.77,363.95,30252200,1
QQQ,2021-07-23,365.31,368.49,363.92,368.20,31960800,1
QQQ,2021-07-26,367.49,368.89,366.60,368.49,28438100,1
QQQ,2021-07-27,368.22,368.22,360.16,364.43,57933100,1
QQQ,2021-07-28,365.60,367.45,363.24,365.83,42066200,1
QQQ,2021-07-29,365.25,367.68,365.25,366.48,25672500,1
QQQ,2021-07-30,362.44,365.17,362.41,364.57,36484600,1
QQQ,2021-08-02,366.28,366.88,363.87,364.60,27334100,1
QQQ,2021-08-03,365.28,366.93,362.00,366.81,35558500,1
QQQ,2021-08-04,366.77,368.32,365.63,367.34,29602200,1
QQQ,2021-08-05,368.18,369.91,367.45,369.67,21443900,1
QQQ,2021-08-06,368.37,369.37,366.91,368.05,33332100,1
QQQ,2021-08-09,368.52,369.27,367.39,368.73,25960200,1
QQQ,2021-08-10,369.26,369.56,365.62,366.84,35130800,1
QQQ,2021-08-11,368.14,368.65,364.84,366.21,34249800,1
QQQ,2021-08-12,365.69,367.90,364.30,367.53,25969200,1
QQQ,2021-08-13,367.89,369.16,367.38,368.82,19336200,1
QQQ,2021-08-16,367.67,369.02,363.70,368.98,34856900,1
QQQ,2021-08-17,366.15,367.15,363.23,365.73,44793900,1
QQQ,2021-08-18,365.18,366.62,361.87,362.21,38541900,1
QQQ,2021-08-19,360.22,365.68,359.96,363.96,48499400,1
QQQ,2021-08-20,365.06,368.14,364.74,367.73,39486000,1
QQQ,2021-08-23,368.80,373.94,368.79,373.23,34034700,1
QQQ,2021-08-24,373.84,374.99,373.36,374.37,21732900,1
QQQ,2021-08-25,374.63,375.39,373.86,374.80,20441900,1
QQQ,2021-08-26,373.92,374.62,371.97,372.42,29133300,1
QQQ,2021-08-27,373.07,376.56,372.57,376.04,27104700,1
QQQ,2021-08-30,376.85,380.76,376.83,380.26,27295700,1
QQQ,2021-08-31,380.51,380.58,378.36,379.95,29628200,1
QQQ,2021-09-01,381.04,382.71,380.37,380.58,28138300,1
QQQ,2021-09-02,381.97,382.31,379.15,380.40,25453400,1
QQQ,2021-09-03,379.22,381.98,379.20,381.57,24605400,1
QQQ,2021-09-07,381.68,382.78,380.49,382.11,23970200,1
QQQ,2021-09-08,381.93,381.93,378.45,380.78,32949200,1
QQQ,2021-09-09,381.01,382.15,379.22,379.47,29399000,1
QQQ,2021-09-10,381.23,381.97,376.25,376.59,40249400,1
QQQ,2021-09-13,378.99,379.43,374.22,376.33,48741800,1
QQQ,2021-09-14,377.86,378.61,374.28,375.26,41826600,1
QQQ,2021-09-15,375.73,378.41,373.37,378.05,34097900,1
QQQ,2021-09-16,376.68,378.90,374.70,378.31,35193100,1
QQQ,2021-09-17,377.82,377.87,372.76,373.83,60912300,1
QQQ,2021-09-20,367.46,369.25,360.93,365.70,76203200,1
QQQ,2021-09-21,367.58,368.81,364.99,366.15,41927500,1
QQQ,2021-09-22,367.09,371.07,365.96,369.57,46972900,1
QQQ,2021-09-23,370.76,374.04,370.10,372.98,44652000,1
QQQ,2021-09-24,370.65,373.76,370.27,373.33,36056800,1
QQQ,2021-09-27,370.20,371.25,367.73,370.35,43338100,1
QQQ,2021-09-28,365.67,370.30,359.35,359.87,97701600,1
QQQ,2021-09-29,361.17,363.37,358.64,359.28,58076600,1
QQQ,2021-09-30,360.97,362.68,357.10,357.96,61384600,1
QQQ,2021-10-01,358.60,361.25,354.38,360.18,56375500,1
QQQ,2021-10-04,358.52,358.86,350.32,352.62,76766000,1
QQQ,2021-10-05,353.71,359.69,353.48,357.38,47232900,1
QQQ,2021-10-06,354.08,359.95,353.15,359.67,56806500,1
QQQ,2021-10-07,362.80,365.69,362.25,362.97,39411200,1
QQQ,2021-10-08,364.08,364.32,360.61,361.16,41822300,1
QQQ,2021-10-11,359.58,363.20,358.30,358.39,34847200,1
QQQ,2021-10-12,359.88,360.33,356.48,357.14,43905100,1
QQQ,2021-10-13,359.51,360.69,357.43,360.00,40120800,1
QQQ,2021-10-14,363.69,366.85,363.01,366.63,43433900,1
QQQ,2021-10-15,367.88,369.06,366.82,368.94,40419900,1
QQQ,2021-10-18,367.61,372.87,366.99,372.65,34513500,1
QQQ,2021-10-19,373.75,375.52,372.70,375.47,29091000,1
QQQ,2021-10-20,375.94,376.57,373.46,374.98,31390300,1
QQQ,2021-10-21,374.16,377.47,373.85,377.27,25469300,1
QQQ,2021-10-22,375.98,376.97,372.39,374.10,36275800,1
QQQ,2021-10-25,375.56,378.87,373.56,377.93,32597800,1
QQQ,2021-10-26,380.23,382.71,377.91,379.12,47191300,1
QQQ,2021-10-27,379.58,383.15,379.31,380.00,45760500,1
QQQ,2021-10-28,381.95,384.48,381.16,384.22,38007000,1
QQQ,2021-10-29,381.06,386.28,380.70,386.11,37310100,1
QQQ,2021-11-01,386.56,387.56,384.42,387.43,30765300,1
QQQ,2021-11-02,386.80,389.54,386.75,389.05,25135300,1
QQQ,2021-11-03,389.55,393.61,388.48,393.18,33748900,1
QQQ,2021-11-04,394.48,399.20,393.92,398.22,40265300,1
QQQ,2021-11-05,400.04,400.99,397.16,398.60,43383800,1
QQQ,2021-11-08,398.57,399.62,397.40,398.06,29256300,1
QQQ,2021-11-09,399.16,399.57,393.92,395.32,50490700,1
QQQ,2021-11-10,392.47,395.36,387.53,389.51,54937400,1
QQQ,2021-11-11,392.57,392.75,390.24,390.59,32243000,1
QQQ,2021-11-12,391.77,395.25,390.13,394.70,34730600,1
QQQ,2021-11-15,395.91,396.24,392.10,394.61,33716900,1
QQQ,2021-11-16,393.86,397.93,393.66,397.42,27872900,1
QQQ,2021-11-17,397.75,399.72,396.64,397.63,28703300,1
QQQ,2021-11-18,399.73,402.27,397.45,401.75,45721500,1
QQQ,2021-11-19,403.43,405.30,402.58,403.99,45191700,1
QQQ,2021-11-22,405.57,408.71,399.19,399.30,61715400,1
QQQ,2021-11-23,398.11,400.23,392.92,397.48,70098700,1
QQQ,2021-11-24,394.93,399.05,392.54,398.76,46954400,1
QQQ,2021-11-26,396.11,397.54,389.77,391.20,51533300,1
QQQ,2021-11-29,395.89,400.73,395.14,399.69,54447100,1
QQQ,2021-11-30,398.78,401.19,391.75,393.82,81332700,1
QQQ,2021-12-01,398.28,400.48,386.64,387.12,77766500,1
QQQ,2021-12-02,385.80,391.74,384.34,389.91,84416600,1
QQQ,2021-12-03,391.31,392.34,378.90,383.13,105349100,1
QQQ,2021-12-06,383.63,387.60,379.30,386.20,67588800,1
QQQ,2021-12-07,393.03,398.46,392.99,397.83,56005300,1
QQQ,2021-12-08,398.17,399.82,396.22,399.61,39204000,1
QQQ,2021-12-09,398.35,400.20,393.53,393.73,49973700,1
QQQ,2021-12-10,396.62,398.28,393.36,398.01,52545800,1
QQQ,2021-12-13,398.00,398.33,391.88,392.26,50166400,1
QQQ,2021-12-14,387.30,390.09,383.63,388.20,75199200,1
QQQ,2021-12-15,387.94,397.42,383.88,397.05,73858000,1
QQQ,2021-12-16,398.04,398.48,385.21,386.84,82591400,1
QQQ,2021-12-17,383.33,389.19,381.77,384.91,80492500,1
QQQ,2021-12-20,379.57,381.50,377.47,380.69,65336800,1
QQQ,2021-12-21,384.05,389.53,380.20,389.21,48899500,1
QQQ,2021-12-22,388.91,394.16,388.23,393.95,37042200,1
QQQ,2021-12-23,394.31,398.43,394.14,396.92,29595500,1
QQQ,2021-12-27,398.25,403.48,398.22,403.48,32820700,1
QQQ,2021-12-28,404.40,404.58,400.71,401.61,33113700,1
QQQ,2021-12-29,401.75,403.05,399.11,401.55,32248500,1
QQQ,2021-12-30,401.33,403.57,399.75,400.35,23850100,1
QQQ,2021-12-31,399.66,401.06,397.34,397.85,34752900,1
QQQ,2022-01-03,399.05,401.94,396.88,401.68,40575900,1
QQQ,2022-01-04,402.24,402.28,393.29,396.47,58027200,1
QQQ,2022-01-05,394.74,395.89,384.03,384.29,75739800,1
QQQ,2022-01-06,382.42,387.35,380.13,384.02,70814300,1
QQQ,2022-01-07,384.03,385.76,378.04,379.86,72652300,1
QQQ,2022-01-10,374.82,380.64,369.31,380.11,91770500,1
QQQ,2022-01-11,379.36,385.99,377.22,385.82,68295700,1
QQQ,2022-01-12,388.46,390.20,385.01,387.35,54576400,1
QQQ,2022-01-13,388.77,389.47,376.70,377.66,77994000,1
QQQ,2022-01-14,375.07,380.35,374.86,380.01,80121200,1
QQQ,2022-01-18,374.04,376.22,369.77,370.55,75450900,1
QQQ,2022-01-19,372.15,374.69,366.21,366.48,81791500,1
QQQ,2022-01-20,369.79,373.87,361.17,361.72,88610700,1
QQQ,2022-01-21,359.47,362.18,351.40,351.69,143388900,1
QQQ,2022-01-24,345.91,353.98,334.15,353.30,198685800,1
QQQ,2022-01-25,346.67,351.03,341.68,345.11,124398400,1
QQQ,2022-01-26,352.91,356.88,340.78,344.57,146559500,1
QQQ,2022-01-27,349.40,351.27,340.05,341.10,95255700,1
QQQ,2022-01-28,343.03,352.02,337.95,351.80,108167900,1
QQQ,2022-01-31,353.20,363.65,351.52,363.05,94326400,1
QQQ,2022-02-01,364.43,366.19,359.14,365.52,74433000,1
QQQ,2022-02-02,369.76,370.10,364.29,368.49,78777100,1
QQQ,2022-02-03,358.53,361.93,352.46,353.55,95384800,1
QQQ,2022-02-04,354.08,361.40,351.97,358.01,86318300,1
QQQ,2022-02-07,358.62,361.05,353.84,355.13,58198100,1
QQQ,2022-02-08,353.96,360.24,352.80,359.12,64720900,1
QQQ,2022-02-09,363.76,366.81,362.12,366.73,55766400,1
QQQ,2022-02-10,359.52,366.49,356.54,358.43,112468500,1
QQQ,2022-02-11,358.43,360.07,345.80,347.06,101569100,1
QQQ,2022-02-14,346.49,350.98,343.89,347.49,80254400,1
QQQ,2022-02-15,352.91,356.37,351.82,356.13,55128800,1
QQQ,2022-02-16,353.82,357.09,350.71,356.04,58947100,1
QQQ,2022-02-17,352.74,353.46,345.02,345.45,61801400,1
QQQ,2022-02-18,346.41,346.81,339.14,341.51,80001500,1
QQQ,2022-02-22,338.49,344.04,334.35,338.08,85967100,1
QQQ,2022-02-23,341.32,342.18,329.10,329.42,86215400,1
QQQ,2022-02-24,318.84,341.04,318.26,340.49,130614100,1
QQQ,2022-02-25,341.31,345.98,337.39,345.77,78842100,1
QQQ,2022-02-28,342.51,348.54,341.32,346.80,77515500,1
QQQ,2022-03-01,345.75,348.08,338.90,341.49,67407000,1
QQQ,2022-03-02,343.08,348.59,340.24,347.22,70609000,1
QQQ,2022-03-03,349.93,350.04,340.35,342.26,71089400,1
QQQ,2022-03-04,339.84,341.31,334.92,337.30,76936300,1
QQQ,2022-03-07,337.29,338.48,324.65,324.86,89933800,1
QQQ,2022-03-08,324.05,333.21,319.94,323.35,116153900,1
QQQ,2022-03-09,331.75,336.38,329.09,334.99,64723400,1
QQQ,2022-03-10,330.82,332.51,326.71,331.27,69362700,1
QQQ,2022-03-11,334.32,334.64,323.90,324.40,66228400,1
QQQ,2022-03-14,323.13,326.59,317.45,318.17,79802600,1
QQQ,2022-03-15,320.88,328.95,319.23,328.15,76471000,1
QQQ,2022-03-16,332.17,340.44,328.40,340.32,105243000,1
QQQ,2022-03-17,338.37,344.50,337.04,344.44,67810000,1
QQQ,2022-03-18,342.74,351.79,341.55,351.49,85446300,1
QQQ,2022-03-21,350.20,352.48,345.58,350.08,73799100,1
QQQ,2022-03-22,350.59,357.85,350.20,356.96,63345900,1
QQQ,2022-03-23,354.01,357.66,351.77,351.83,70615500,1
QQQ,2022-03-24,353.80,359.70,351.59,359.65,53555300,1
QQQ,2022-03-25,359.59,360.67,354.94,359.35,57584200,1
QQQ,2022-03-28,359.34,365.01,358.07,364.91,56833900,1
QQQ,2022-03-29,368.90,371.83,366.06,371.19,68073000,1
QQQ,2022-03-30,369.28,370.98,365.57,367.09,68757700,1
QQQ,2022-03-31,367.24,367.60,361.68,362.54,67011400,1
QQQ,2022-04-01,362.81,363.61,358.59,361.85,54527800,1
QQQ,2022-04-04,362.71,369.31,362.44,369.30,45950200,1
QQQ,2022-04-05,367.81,368.54,359.93,361.10,62738700,1
QQQ,2022-04-06,355.65,356.78,350.56,353.26,90077100,1
QQQ,2022-04-07,352.24,356.35,348.69,354.10,63777400,1
QQQ,2022-04-08,352.32,353.09,348.50,349.15,61956100,1
QQQ,2022-04-11,344.81,345.75,340.54,340.89,66107400,1
QQQ,2022-04-12,345.76,347.69,338.04,339.45,72790200,1
QQQ,2022-04-13,339.80,347.43,339.06,346.35,61367800,1
QQQ,2022-04-14,346.44,346.97,338.21,338.43,73519400,1
QQQ,2022-04-18,337.35,341.04,335.79,338.69,58560600,1
QQQ,2022-04-19,338.03,346.85,336.98,346.26,56515700,1
QQQ,2022-04-20,347.09,347.56,339.96,341.21,65500000,1
QQQ,2022-04-21,345.19,347.87,333.20,334.15,75801000,1
QQQ,2022-04-22,334.31,335.56,324.96,325.40,82562100,1
QQQ,2022-04-25,323.73,329.90,322.43,329.58,101755900,1
QQQ,2022-04-26,327.47,327.66,316.86,317.14,105819600,1
QQQ,2022-04-27,317.24,322.88,315.00,316.76,111204200,1
QQQ,2022-04-28,321.85,329.89,317.52,328.01,99450000,1
QQQ,2022-04-29,323.70,327.23,312.60,313.25,91977900,1
QQQ,2022-05-02,312.83,318.72,309.65,318.48,115511800,1
QQQ,2022-05-03,318.50,321.17,315.98,318.82,78185500,1
QQQ,2022-05-04,319.31,330.29,313.89,329.60,116083400,1
QQQ,2022-05-05,325.17,325.25,309.62,313.00,154607400,1
QQQ,2022-05-06,310.95,315.09,305.11,309.25,139572800,1
QQQ,2022-05-09,303.48,309.35,295.72,297.15,113387300,1
QQQ,2022-05-10,304.51,305.76,296.57,300.76,124124600,1
QQQ,2022-05-11,298.44,304.09,290.95,291.84,140326100,1
QQQ,2022-05-12,287.45,295.75,284.94,291.15,120910900,1
QQQ,2022-05-13,295.72,303.00,294.08,301.94,83684900,1
QQQ,2022-05-16,300.15,302.26,297.13,298.44,59190400,1
QQQ,2022-05-17,304.45,306.56,300.55,306.17,62715300,1
QQQ,2022-05-18,301.54,302.25,289.85,291.14,79477100,1
QQQ,2022-05-19,289.29,294.39,287.58,289.58,79920700,1
QQQ,2022-05-20,293.13,293.80,280.21,288.68,91764200,1
QQQ,2022-05-23,289.75,293.87,287.29,293.48,63648400,1
QQQ,2022-05-24,288.13,288.86,282.25,287.24,73491100,1
QQQ,2022-05-25,285.71,293.39,285.50,291.26,67144500,1
QQQ,2022-05-26,290.44,300.92,290.15,299.33,59462200,1
QQQ,2022-05-27,302.54,309.25,302.42,309.10,66985600,1
QQQ,2022-05-31,309.07,311.33,304.33,308.28,60968300,1
QQQ,2022-06-01,310.47,312.65,303.73,306.00,65341700,1
QQQ,2022-06-02,304.85,314.56,303.40,314.38,59291300,1
QQQ,2022-06-03,309.03,310.47,304.92,306.20,60914700,1
QQQ,2022-06-06,310.75,312.35,305.62,307.22,51785000,1
QQQ,2022-06-07,303.81,310.67,302.69,309.87,44900300,1
QQQ,2022-06-08,309.05,311.72,306.77,307.64,38342100,1
QQQ,2022-06-09,305.91,309.05,299.23,299.40,55900500,1
QQQ,2022-06-10,293.65,294.87,288.38,288.84,85963500,1
QQQ,2022-06-13,279.75,282.34,274.53,275.41,94442000,1
QQQ,2022-06-14,277.66,278.66,273.34,275.91,64697500,1
QQQ,2022-06-15,279.42,286.83,276.61,282.80,86051400,1
QQQ,2022-06-16,275.59,276.06,269.28,271.39,81910300,1
QQQ,2022-06-17,272.18,277.19,270.51,274.69,82703400,1
QQQ,2022-06-21,278.75,283.45,278.64,281.08,51633700,1
QQQ,2022-06-22,278.52,285.18,277.91,280.67,67472900,1
QQQ,2022-06-23,283.21,285.72,280.31,284.85,57457800,1
QQQ,2022-06-24,287.74,295.04,287.50,294.61,58422300,1
QQQ,2022-06-27,296.00,296.58,291.29,292.45,54151500,1
QQQ,2022-06-28,293.00,295.65,283.35,283.54,61609800,1
QQQ,2022-06-29,283.40,285.34,280.84,283.80,57302700,1
QQQ,2022-06-30,280.75,283.94,275.78,280.28,79313600,1
QQQ,2022-07-01,278.95,282.53,277.03,282.13,56675100,1
QQQ,2022-07-05,278.31,287.08,276.75,286.96,61829300,1
QQQ,2022-07-06,287.35,290.95,285.59,288.80,63194700,1
QQQ,2022-07-07,289.63,295.70,289.63,294.98,56620100,1
QQQ,2022-07-08,292.08,296.75,291.12,295.35,59895500,1
QQQ,2022-07-11,292.88,293.11,288.14,289.04,55273900,1
QQQ,2022-07-12,290.32,292.28,284.61,286.24,55797100,1
QQQ,2022-07-13,280.60,288.05,280.02,285.65,73939400,1
QQQ,2022-07-14,282.99,287.56,279.80,286.67,63741800,1
QQQ,2022-07-15,289.73,291.98,288.08,291.87,63818100,1
QQQ,2022-07-18,294.72,296.16,288.20,289.40,59519600,1
QQQ,2022-07-19,293.11,298.60,291.47,298.30,55172600,1
QQQ,2022-07-20,298.73,304.24,297.93,303.03,67769400,1
QQQ,2022-07-21,303.50,307.44,300.78,307.38,55049400,1
QQQ,2022-07-22,306.43,308.55,300.12,301.99,57127700,1
QQQ,2022-07-25,302.02,302.50,298.22,300.27,40582400,1
QQQ,2022-07-26,298.53,298.79,293.54,294.37,50074100,1
QQQ,2022-07-27,299.04,308.54,298.46,306.81,69304400,1
QQQ,2022-07-28,306.59,310.40,302.75,309.81,55139900,1
QQQ,2022-07-29,311.39,316.39,309.93,315.46,57501000,1
QQQ,2022-08-01,313.65,318.81,312.53,315.27,46358800,1
QQQ,2022-08-02,312.92,318.55,311.84,314.33,48676500,1
QQQ,2022-08-03,316.05,323.73,315.99,322.89,53735700,1
QQQ,2022-08-04,322.97,324.72,320.77,324.40,38973700,1
QQQ,2022-08-05,319.19,323.83,318.39,321.75,53894000,1
QQQ,2022-08-08,322.69,326.47,319.21,320.71,43878500,1
QQQ,2022-08-09,318.77,319.03,315.42,317.08,39764200,1
QQQ,2022-08-10,324.59,326.23,322.06,325.93,51459600,1
QQQ,2022-08-11,328.31,330.36,323.36,324.08,45897700,1
QQQ,2022-08-12,326.18,330.59,325.10,330.39,40928400,1
QQQ,2022-08-15,329.42,333.57,329.40,333.06,38266600,1
QQQ,2022-08-16,332.06,334.42,329.16,332.28,41186900,1
QQQ,2022-08-17,329.07,331.43,326.36,328.49,47842200,1
QQQ,2022-08-18,328.44,330.49,326.79,329.28,41937200,1
